email_sent_date,email_sent_time,sent_timestamp,post_url,post_title,post_body_text,post_date,post_time,post_timestamp,list_price,list_type,poster_gender,poster_age,treatment,reply,fave_reply,reply_date,reply_time,reply_timestamp,gender_in_email,age_in_email,email_sent_dow,post_dow,reply_dow
3/21/2019,11:44:00 PM,3/21/2019 20:44:00,https://indianapolis.craigslist.org/roo/d/indianapolis-share-house-near-airport/6847331771.html,$600 Share house near airport - month to month (West Washington street),"Share house, private basement bedroom and private bathroom. King size sleigh bed, all furnished. Linens, towels etc. Tv provided. All utilities included in price of monthly rent. Comcast cable, WiFi, central a/c. Washer and dryer. Own refrigerator. Wound share the kitchen. One person only, no pets. If interested please contact me. It’s available now.",3/21/2019,10:38:00 PM,3/21/2019 22:38:00,600,house,NA,NA,katie_43,Y,Y,3/22/2019,8:49:00 AM,3/22/2019 8:49:00,,,5,5,6
3/21/2019,11:47:00 PM,3/21/2019 20:47:00,https://indianapolis.craigslist.org/roo/d/greenwood-2-bedroom-1-bath-to-share/6847218336.html,$420 / 820ft2 - 2 bedroom 1 bath to share (Greenwood),"Semi retired female seeking responsible person to share. Laid back, just don't want someone who brings the party home.",3/21/2019,7:15:00 PM,3/21/2019 19:15:00,420,apartment,female,NA,katie_43,Y,Y,3/23/2019,4:53:00 PM,3/23/2019 16:53:00,,,5,5,7
3/21/2019,11:57:00 PM,3/21/2019 20:57:00,https://indianapolis.craigslist.org/roo/d/indianapolis-furnished-room-in-adorable/6847161772.html,"$425 Furnished Room in Adorable Bungalow, Everything Included! (N Bosart Ave Indianapolis, IN)","We have a furnished room in our super cute and stylish bungalow for rent short-term. Available April 5! 1, 2, or 3 month lease. Includes all utilities, internet. Washer and dryer in the house, and easy street parking. Giant fenced in yard with deck and garden! Very near Irvington restaurants and shops, and close to Mass Ave and I70. Perfect for students or folks who are new in town and trying on neighborhoods. We are a queer couple in our late 20s/mid 30s, and have 2 small dogs and two quiet cats. One of us works from home in a basement office. We are pretty quiet and tidy.",3/21/2019,6:00:00 PM,3/21/2019 18:00:00,425,house,NA,late 20s/mid 30s couple,katie_43,N,N,NA,NA,NA,,,5,5,NA
3/21/2019,12:00:00 AM,3/21/2019 21:00:00,https://indianapolis.craigslist.org/roo/d/indianapolis-room-mates/6847167359.html,$400 Room mates (Indianapolis),We are looking for honest people no drama people get along with good hearted can give the money up front 400 month are 100 a week,3/21/2019,6:07:00 PM,3/21/2019 18:07:00,400,NA,NA,NA,katie_43,N,N,NA,NA,NA,,,5,5,NA
3/21/2019,12:10:00 AM,3/21/2019 21:10:00,https://indianapolis.craigslist.org/roo/d/indianapolis-roommate-wanted-in-nice/6847102799.html,"$360 Roommate wanted in NICE house (Indianapolis, IN)","In Brooking..2 stall garage and more off street parking. It is a nice part of town on a well traveled street. so the street is well maintained during winter months. Full back yard, garden, patio, fire pit, large grill, garden shed. I will be using the master bath.. there is another full bath and 2 bedrooms on main floor. 1 room in the finished basement with 3/4 bath.",3/21/2019,4:51:00 PM,3/21/2019 16:51:00,360,house,NA,NA,katie_43,N,N,NA,NA,NA,,,5,5,NA
3/21/2019,12:52:00 AM,3/21/2019 21:52:00,https://indianapolis.craigslist.org/roo/d/hanover-looking-roomates/6847136751.html,"$500 Looking roomates (Indianapolis,in) ","Looking to rent a room ... LOCATION MADISON, INDIANA, About us we are a couple with one small child looking to open are house up and rent out a room with private bathroom and wifi wireless an storage space and open parking available if you have a vehicle looking for rent wise weekly about 150 biweekly250 monthly 500 that includes wifi your also responsible for a 50 a month utilitie payment different prices for different ways a payment cheaper payment more monthly is how we choose to set it up but can be negotiated depending on seriousness of needing a place give us a call we can talk we are open to talking about the situation my names Mark and have a blessed day and like I said depending on your income we can discuss payment for rent and deposit",3/21/2019,5:30:00 PM,3/21/2019 17:30:00,500,house,male,NA,katie_27,Y,Y,3/22/2019,11:51:00 AM,3/22/2019 11:51:00,presumed female,,5,5,6
3/21/2019,12:53:00 AM,3/21/2019 21:53:00,https://indianapolis.craigslist.org/roo/d/indianapolis-2-rooms-available/6847121929.html,$450 / 700ft2 - 2 rooms available (Indy east),Beautiful Victorian home with two large bedrooms available Ready to move in. Master suite is $450 Other large bedroom is $400,3/21/2019,5:12:00 PM,3/21/2019 17:12:00,450,house,NA,NA,katie_27,Y,Y,3/22/2019,12:51:00 PM,3/22/2019 12:51:00,,,5,5,6
3/21/2019,12:42:00 AM,3/21/2019 21:42:00,https://indianapolis.craigslist.org/roo/d/indianapolis-looking-for-roommate/6834655212.html,$500 Looking For A Roommate (Fishers Indiana),"Hi. I am a 49 year old female. I have a 2 bedroom apartment in downtown Fishers. My roommate was transferred to Florida and I am looking for someone to share the place with. Large bedroom with big walk-in closet, private sink and private bathroom entrance. Very nice neighborhood. Serious inquiries only please.",3/6/2019,6:45:00 AM,3/6/2019 6:45:00,500,apartment,female,49,katie_43,N,N,NA,NA,NA,,,5,4,NA
3/21/2019,12:56:00 AM,3/21/2019 21:56:00,https://indianapolis.craigslist.org/roo/d/indianapolis-broad-ripple-room-in-house/6834655583.html,$400 Broad Ripple Room in House (Indianapolis),"Room available as soon as needed ($400 rent, $500 deposit). Two guys living in the house currently. Both are professionals in their early 30s. Work hard and mostly chill during the week. We occasionally party on the weekends but usually involves friends hanging out, watching sports or walking down to the nearby Broad Ripple strip. Responsible, employed inquiries only. Please email me some information about yourself if you are interested along with a contact phone number and I will reach out to you",3/6/2019,6:47:00 AM,3/6/2019 6:47:00,400,house,male,early 30s,katie_27,N,N,NA,NA,NA,,,5,4,NA
3/21/2019,1:00:00 AM,3/21/2019 22:00:00,https://indianapolis.craigslist.org/roo/d/indianapolis-females-for-one-room-in/6839395208.html,"$600 Females for one room in a two-bedroom apartment for rent (9 on canal, Indianapolis)","Hi! I am looking for a female to rent a bedroom in a two-bedroom 9 on canal apartment, Indianapolis. The room comes furnished with a bed, side table and a study table-chair. The room has an attached closet and bathroom with 24 *7 access to hot water. The house has a living room with sofa, coffee table, and a TV. The apartment comes with inhouse laundry unit. The apartment has a nice cozy environment with amenities like coffee shop, swimming pool, 24*7 access to the gym and an open terrace area. It has an attached garage. The lease is currently till 09/22/2019. Please see the attached photos and link to the apartment. Interested person can move in from April. https://www.9oncanal.com/9-on-canal-apartments-indianapolis-in/",3/12/2019,7:02:00 AM,3/12/2019 7:02:00,600,apartment,NA,NA,katie_27,N,N,NA,NA,NA,,,5,3,NA
3/21/2019,12:43:00 PM,3/21/2019 9:43:00,https://indianapolis.craigslist.org/roo/d/indianapolis-looking-for-female-roommate/6837532105.html,$550 Looking for a female roommate (Indianapolis),"Housemate Needed- Looking for low key, drama free, and responsible person. Super nice room for rent ..huge deck ..nice room. Near bus stop and train station. New re frig, washer/dryer, tile system, and new paint. Rent is $499 base rent. All Bills Paid is $550 for the regular room. Full access to: kitchen, living room, dining room, front yard, and back yard. Please reply with your name, employment status, contact number.",3/9/2019,3:37:00 PM,3/9/2019 15:37:00,550,house,NA,NA,katie_43,N,N,NA,NA,NA,,,5,7,NA
3/21/2019,1:00:00 AM,3/21/2019 22:00:00,https://indianapolis.craigslist.org/roo/d/indianapolis-rooms-for-rent/6825811563.html,$150 Rooms For Rent (107 West 33rd Street),"WEST: 33rd & Illinois St (107 W. 33rd) Rooms available minutes from IVY Tech. Starting from $150/wk to $185/wk or $540/mo to $640/mo, which Includes all utilities, fully furnished bedroom with full/queen-size bed, has private suites with full or half bath, mini fridge, and microwave in all rooms, Wi-Fi, shared eat-in kitchen, washer & dryer.",2/22/2019,4:31:00 PM,2/22/2019 16:31:00,540,house,NA,NA,katie_27,N,N,NA,NA,NA,,,5,6,NA
3/21/2019,1:02:00 AM,3/21/2019 22:02:00,https://indianapolis.craigslist.org/roo/d/plainfield-looking-for-roommate/6846983229.html,$390 looking for roommate! (plainfield),"My current lease is up May 31st, and I'm looking for either a roommate to fill my current roommates spot or to move to another apartment complex within the Plainfield area. I'm a 21 yr old female with 2 dogs. My current apartment is a 2 bed 1 bath upstairs unit that's about 750 square feet. Please contact me for more info. :)",3/21/2019,2:44:00 PM,3/21/2019 14:44:00,390,apartment,female,21,katie_27,N,N,NA,NA,NA,,,5,5,NA
3/21/2019,1:03:00 AM,3/21/2019 22:03:00,https://indianapolis.craigslist.org/roo/d/indianapolis-private-room-with-private/6846888747.html,$400 Private Room with Private Bathroom (Indianapolis),Newly Renovated Furnished Room with private bathroom and shared kitchen for $400 a month!,3/21/2019,1:12:00 PM,3/21/2019 13:12:00,400,NA,NA,NA,katie_27,Y,Y,3/23/2019,9:32:00 AM,3/23/2019 9:32:00,,,5,5,7
3/21/2019,1:05:00 AM,3/21/2019 22:05:00,https://indianapolis.craigslist.org/roo/d/noblesville-clean-one-bedroom-available/6846871877.html,$550 Clean One bedroom available (46060),"One bedroom private bath 550.00 includes utilities. New construction 5 years old, nice place. Clean safe neighborhood. Families and kids. Nearby parks and trails",3/21/2019,12:57:00 PM,3/21/2019 12:57:00,550,NA,NA,NA,katie_27,Y,Y,3/23/2019,9:17:00 AM,3/23/2019 9:17:00,presumed male,,5,5,7
3/21/2019,1:06:00 AM,3/21/2019 22:06:00,https://indianapolis.craigslist.org/roo/d/indianapolis-sunny-spacious-private/6835648986.html,$400 Sunny spacious private bedroom in 3BR apartment (Westfield),"A sunny spacious private bedroom in 3BR apartment at Westfield is available between 17 March 18 (Sat) to 2 Apr 18. (Sun). We are located on Kirkland st, 10 min walk from Westfield Red line T stop. The bedroom is fully furnished and the rent is $400 (includes everything). You will be sharing bathroom and kitchen with two other roommates. We are clean, neat, responsible and we spend most of the time at school. Please note that the apartment does not have a living room. Coin operated laundry is in the basement. Street parking is available. No smoking, no party, no drugs please.",3/7/2019,11:16:00 AM,3/7/2019 11:16:00,400,apartment,NA,NA,katie_27,N,N,NA,NA,NA,,,5,5,NA
