Email sent date,Email sent time,sent_timestamp,Posting URL,Posting Title,Posting Body Text,Post timestamp,Listing Price,"Listing Type (house, apt., etc)",Poster Gender,Poster Age,Treatment,Reply?,Favorable Reply?,reply_date,reply_time,Gender in email,Age in email
3/21/19,8:44 PM,3/21/19 20:44,https://indianapolis.craigslist.org/roo/d/indianapolis-share-house-near-airport/6847331771.html,$600 Share house near airport - month to month (West Washington street),"Share house, private basement bedroom and private bathroom. King size sleigh bed, all furnished. Linens, towels etc. Tv provided. All utilities included in price of monthly rent. Comcast cable, WiFi, central a/c. Washer and dryer. Own refrigerator. Wound share the kitchen. One person only, no pets. If interested please contact me. It’s available now.",3/21/19 22:38,600,house,NA,NA,katie_43,Y,Y,3/22/19,5:49:00 AM,,
3/21/19,8:47 PM,3/21/19 20:47,https://indianapolis.craigslist.org/roo/d/greenwood-2-bedroom-1-bath-to-share/6847218336.html,$420 / 820ft2 - 2 bedroom 1 bath to share (Greenwood),"Semi retired female seeking responsible person to share. Laid back, just don't want someone who brings the party home.",3/21/19 19:15,420,apartment,female,NA,katie_43,Y,Y,3/23/19,1:53:00 PM,,
3/21/19,8:57 PM,3/21/19 20:57,https://indianapolis.craigslist.org/roo/d/indianapolis-furnished-room-in-adorable/6847161772.html,"$425 Furnished Room in Adorable Bungalow, Everything Included! (N Bosart Ave Indianapolis, IN)","We have a furnished room in our super cute and stylish bungalow for rent short-term. Available April 5! 1, 2, or 3 month lease. Includes all utilities, internet. Washer and dryer in the house, and easy street parking. Giant fenced in yard with deck and garden! Very near Irvington restaurants and shops, and close to Mass Ave and I70. Perfect for students or folks who are new in town and trying on neighborhoods. We are a queer couple in our late 20s/mid 30s, and have 2 small dogs and two quiet cats. One of us works from home in a basement office. We are pretty quiet and tidy.",3/21/19 18:00,425,house,NA,late 20s/mid 30s couple,katie_43,N,N,NA,,,
3/21/19,9:00 PM,3/21/19 21:00,https://indianapolis.craigslist.org/roo/d/indianapolis-room-mates/6847167359.html,$400 Room mates (Indianapolis),We are looking for honest people no drama people get along with good hearted can give the money up front 400 month are 100 a week,3/21/19 18:07,400,NA,NA,NA,katie_43,N,N,NA,,,
3/21/19,9:10 PM,3/21/19 21:10,https://indianapolis.craigslist.org/roo/d/indianapolis-roommate-wanted-in-nice/6847102799.html,"$360 Roommate wanted in NICE house (Indianapolis, IN)","In Brooking..2 stall garage and more off street parking. It is a nice part of town on a well traveled street. so the street is well maintained during winter months. Full back yard, garden, patio, fire pit, large grill, garden shed. I will be using the master bath.. there is another full bath and 2 bedrooms on main floor. 1 room in the finished basement with 3/4 bath.",3/21/19 16:51,360,house,NA,NA,katie_43,N,N,NA,,,
3/21/19,9:52 PM,3/21/19 21:52,https://indianapolis.craigslist.org/roo/d/hanover-looking-roomates/6847136751.html,"$500 Looking roomates (Indianapolis,in) ","Looking to rent a room ... LOCATION MADISON, INDIANA, About us we are a couple with one small child looking to open are house up and rent out a room with private bathroom and wifi wireless an storage space and open parking available if you have a vehicle looking for rent wise weekly about 150 biweekly250 monthly 500 that includes wifi your also responsible for a 50 a month utilitie payment different prices for different ways a payment cheaper payment more monthly is how we choose to set it up but can be negotiated depending on seriousness of needing a place give us a call we can talk we are open to talking about the situation my names Mark and have a blessed day and like I said depending on your income we can discuss payment for rent and deposit",3/21/19 17:30,500,house,male,NA,katie_27,Y,Y,3/22/19,8:51:00 AM,presumed female,
3/21/19,9:53 PM,3/21/19 21:53,https://indianapolis.craigslist.org/roo/d/indianapolis-2-rooms-available/6847121929.html,$450 / 700ft2 - 2 rooms available (Indy east),Beautiful Victorian home with two large bedrooms available Ready to move in. Master suite is $450 Other large bedroom is $400,3/21/19 17:12,450,house,NA,NA,katie_27,Y,Y,3/22/19,9:51:00 AM,,
3/21/19,9:42 PM,3/21/19 21:42,https://indianapolis.craigslist.org/roo/d/indianapolis-looking-for-roommate/6834655212.html,$500 Looking For A Roommate (Fishers Indiana),"Hi. I am a 49 year old female. I have a 2 bedroom apartment in downtown Fishers. My roommate was transferred to Florida and I am looking for someone to share the place with. Large bedroom with big walk-in closet, private sink and private bathroom entrance. Very nice neighborhood. Serious inquiries only please.",3/6/19 6:45,500,apartment,female,49,katie_43,N,N,NA,,,
3/21/19,9:56 PM,3/21/19 21:56,https://indianapolis.craigslist.org/roo/d/indianapolis-broad-ripple-room-in-house/6834655583.html,$400 Broad Ripple Room in House (Indianapolis),"Room available as soon as needed ($400 rent, $500 deposit). Two guys living in the house currently. Both are professionals in their early 30s. Work hard and mostly chill during the week. We occasionally party on the weekends but usually involves friends hanging out, watching sports or walking down to the nearby Broad Ripple strip. Responsible, employed inquiries only. Please email me some information about yourself if you are interested along with a contact phone number and I will reach out to you",3/6/19 6:47,400,house,male,early 30s,katie_27,N,N,NA,,,
3/21/19,10:00 PM,3/21/19 22:00,https://indianapolis.craigslist.org/roo/d/indianapolis-females-for-one-room-in/6839395208.html,"$600 Females for one room in a two-bedroom apartment for rent (9 on canal, Indianapolis)","Hi! I am looking for a female to rent a bedroom in a two-bedroom 9 on canal apartment, Indianapolis. The room comes furnished with a bed, side table and a study table-chair. The room has an attached closet and bathroom with 24 *7 access to hot water. The house has a living room with sofa, coffee table, and a TV. The apartment comes with inhouse laundry unit. The apartment has a nice cozy environment with amenities like coffee shop, swimming pool, 24*7 access to the gym and an open terrace area. It has an attached garage. The lease is currently till 09/22/2019. Please see the attached photos and link to the apartment. Interested person can move in from April. https://www.9oncanal.com/9-on-canal-apartments-indianapolis-in/",3/12/19 7:02,600,apartment,NA,NA,katie_27,N,N,NA,,,
